name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,101323,1232,1.775,103.3,1165,71.23,13.241,-784
Sint Maarten (Dutch part),SXM,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,42749,390,1.447,103.9,347,76.371,12.846,567
Trinidad and Tobago,TTO,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,1502932,16094.000000000002,1.532,104.1,12577,73.49,13.516,2126
Turks and Caicos Islands,TCA,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,46198,496,1.463,104.9,342,78.008,4.773,193
United States Virgin Islands,VIR,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,85701,959,2.09,103.9,1321,75.472,4.946,-444
Belize,BLZ,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,411106,7410,2.007,105.2,2025,73.566,8.706,595
Costa Rica,CRI,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,5105525,51969,1.33,104.5,27861,80.799,6.494,995
El Salvador,SLV,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,6309624,99428,1.775,104.8,47443,72.099,9.509,-23253
Guatemala,GTM,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,18124838,377167,2.311,103.9,87523,72.602,17.643,-8940
Honduras,HND,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,10644851,233793,2.5,105.1,47670,72.884,12.954,-5044
Mexico,MEX,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,129739759,2037689,1.91,103.9,799366,75.069,10.347,-101044
Nicaragua,NIC,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,6823613,132214,2.218,103.5,31294,74.947,12.262,-7996
Panama,PAN,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,4458759,71469,2.119,105.4,21272,79.594,12.561,7262
Argentina,ARG,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,45538401,503823,1.5,105.1,349195,77.395,8.98,4133
Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,Latin America and the Caribbean,lower-middle,less,12244159,260151,2.547,104.2,87812,68.581,31.822,-3008
Brazil,BRA,Latin America and the Caribbean,Latin America and the Caribbean,upper-middle,less,211140729,2601670,1.619,104.5,1494154,75.848,12.052,-240059
Chile,CHL,Latin America and the Caribbean,Latin America and the Caribbean,upper,less,19658835,176196,1.167,104.3,127691,81.167,4.139,62679
